"pais_codigo","pais_nome","evento_data","Ouro","Prata","Bronze","rank"
"HUN","Hungria","2024-08-01",1,2,1,15
"GEO","Geórgia","2024-08-01",1,2,0,16
"RSA","África do Sul","2024-08-01",1,1,2,17
"SWE","Suécia","2024-08-01",1,1,2,17
"BEL","Bélgica","2024-08-01",1,0,2,18
"IRL","Irlanda","2024-08-01",1,0,2,18
"KAZ","Cazaquistão","2024-08-01",1,0,2,18
"CRO","Croácia","2024-08-01",1,0,1,19
"GUA","Guatemala","2024-08-01",1,0,1,19
"UZB","Uzbequistão","2024-08-01",1,0,1,19
"ARG","Argentina","2024-08-01",1,0,0,20
"ECU","Equador","2024-08-01",1,0,0,20
"SLO","Eslovênia","2024-08-01",1,0,0,20
"SRB","Sérvia","2024-08-01",1,0,0,20
"BRA","Brasil","2024-08-01",0,3,3,21
"PRK","RPD da Coréia","2024-08-01",0,2,0,22
"ESP","Espanha","2024-08-01",0,1,3,23
"POL","Polônia","2024-08-01",0,1,2,24
"SUI","Suíça","2024-08-01",0,1,2,24
"GRE","Grécia","2024-08-01",0,1,1,25
"ISR","Israel","2024-08-01",0,1,1,25
"KOS","Kosovo","2024-08-01",0,1,1,25
"MEX","México","2024-08-01",0,1,1,25
"TUR","Türkiye","2024-08-01",0,1,1,25
"UKR","Ucrânia","2024-08-01",0,1,1,25
"FIJ","Fiji","2024-08-01",0,1,0,26
"MGL","Mongólia","2024-08-01",0,1,0,26
"TUN","Tunísia","2024-08-01",0,1,0,26
"IND","Índia","2024-08-01",0,0,3,27
"MDA","Moldova","2024-08-01",0,0,2,28
"AUT","Áustria","2024-08-01",0,0,1,29
"EGY","Egito","2024-08-01",0,0,1,29
"POR","Portugal","2024-08-01",0,0,1,29
"SVK","Eslováquia","2024-08-01",0,0,1,29
"TJK","Tajiquistão","2024-08-01",0,0,1,29
"CHN","China","2024-07-31",9,7,3,1
"JPN","Japão","2024-07-31",8,3,4,2
"FRA","França","2024-07-31",7,10,8,3
"AUS","Austrália","2024-07-31",7,6,3,4
"GBR","Grã-Bretanha","2024-07-31",6,6,5,5
"KOR","República da Coréia","2024-07-31",6,3,3,6
"USA","EUA","2024-07-31",5,13,12,7
"ITA","Itália","2024-07-31",3,6,4,8
"CAN","Canadá","2024-07-31",2,2,3,9
"GER","Alemanha","2024-07-31",2,2,2,10
"HKG","Hong Kong, China","2024-07-31",2,0,2,11
"SWE","Suécia","2024-07-31",1,1,2,12
"NED","Países Baixos","2024-07-31",1,1,1,13
"GEO","Geórgia","2024-07-31",1,1,0,14
"NZL","Nova Zelândia","2024-07-31",1,1,0,14
"BEL","Bélgica","2024-07-31",1,0,2,15
"KAZ","Cazaquistão","2024-07-31",1,0,2,15
"RSA","África do Sul","2024-07-31",1,0,2,15
"CRO","Croácia","2024-07-31",1,0,1,16
"GUA","Guatemala","2024-07-31",1,0,1,16
"IRL","Irlanda","2024-07-31",1,0,1,16
"ROU","Romênia","2024-07-31",1,0,1,16
"ARG","Argentina","2024-07-31",1,0,0,17
"AZE","Azerbaijão","2024-07-31",1,0,0,17
"SLO","Eslovênia","2024-07-31",1,0,0,17
"SRB","Sérvia","2024-07-31",1,0,0,17
"UZB","Uzbequistão","2024-07-31",1,0,0,17
"HUN","Hungria","2024-07-31",0,2,1,18
"PRK","RPD da Coréia","2024-07-31",0,2,0,19
"BRA","Brasil","2024-07-31",0,1,3,20
"POL","Polônia","2024-07-31",0,1,2,21
"KOS","Kosovo","2024-07-31",0,1,1,22
"MEX","México","2024-07-31",0,1,1,22
"SUI","Suíça","2024-07-31",0,1,1,22
"TUR","Türkiye","2024-07-31",0,1,1,22
"FIJ","Fiji","2024-07-31",0,1,0,23
"MGL","Mongólia","2024-07-31",0,1,0,23
"TUN","Tunísia","2024-07-31",0,1,0,23
"IND","Índia","2024-07-31",0,0,2,24
"MDA","Moldova","2024-07-31",0,0,2,24
"AUT","Áustria","2024-07-31",0,0,1,25
"EGY","Egito","2024-07-31",0,0,1,25
"ESP","Espanha","2024-07-31",0,0,1,25
"GRE","Grécia","2024-07-31",0,0,1,25
"SVK","Eslováquia","2024-07-31",0,0,1,25
"TJK","Tajiquistão","2024-07-31",0,0,1,25
"UKR","Ucrânia","2024-07-31",0,0,1,25
"JPN","Japão","2024-07-30",7,2,4,1
"CHN","China","2024-07-30",6,6,2,2
"AUS","Austrália","2024-07-30",6,4,1,3
"FRA","França","2024-07-30",5,9,4,4
"KOR","República da Coréia","2024-07-30",5,3,3,5
"USA","EUA","2024-07-30",4,11,11,6
"GBR","Grã-Bretanha","2024-07-30",4,5,3,7
"ITA","Itália","2024-07-30",3,4,4,8
"CAN","Canadá","2024-07-30",2,2,2,9
"HKG","Hong Kong, China","2024-07-30",2,0,1,10
"GER","Alemanha","2024-07-30",2,0,0,11
"KAZ","Cazaquistão","2024-07-30",1,0,2,12
"RSA","África do Sul","2024-07-30",1,0,2,12
"BEL","Bélgica","2024-07-30",1,0,1,13
"IRL","Irlanda","2024-07-30",1,0,1,13
"AZE","Azerbaijão","2024-07-30",1,0,0,14
"NZL","Nova Zelândia","2024-07-30",1,0,0,14
"ROU","Romênia","2024-07-30",1,0,0,14
"SLO","Eslovênia","2024-07-30",1,0,0,14
"SRB","Sérvia","2024-07-30",1,0,0,14
"UZB","Uzbequistão","2024-07-30",1,0,0,14
"BRA","Brasil","2024-07-30",0,1,3,15
"SWE","Suécia","2024-07-30",0,1,2,16
"KOS","Kosovo","2024-07-30",0,1,1,17
"MEX","México","2024-07-30",0,1,1,17
"POL","Polônia","2024-07-30",0,1,1,17
"TUR","Türkiye","2024-07-30",0,1,1,17
"FIJ","Fiji","2024-07-30",0,1,0,18
"GEO","Geórgia","2024-07-30",0,1,0,18
"MGL","Mongólia","2024-07-30",0,1,0,18
"PRK","RPD da Coréia","2024-07-30",0,1,0,18
"TUN","Tunísia","2024-07-30",0,1,0,18
"IND","Índia","2024-07-30",0,0,2,19
"MDA","Moldova","2024-07-30",0,0,2,19
"CRO","Croácia","2024-07-30",0,0,1,20
"EGY","Egito","2024-07-30",0,0,1,20
"ESP","Espanha","2024-07-30",0,0,1,20
"GUA","Guatemala","2024-07-30",0,0,1,20
"HUN","Hungria","2024-07-30",0,0,1,20
"SUI","Suíça","2024-07-30",0,0,1,20
"SVK","Eslováquia","2024-07-30",0,0,1,20
"TJK","Tajiquistão","2024-07-30",0,0,1,20
"UKR","Ucrânia","2024-07-30",0,0,1,20
"JPN","Japão","2024-07-29",6,2,4,1
"FRA","França","2024-07-29",5,8,3,2
"CHN","China","2024-07-29",5,5,2,3
"AUS","Austrália","2024-07-29",5,4,0,4
"KOR","República da Coréia","2024-07-29",5,3,1,5
"USA","EUA","2024-07-29",3,8,9,6
"GBR","Grã-Bretanha","2024-07-29",2,5,3,7
"ITA","Itália","2024-07-29",2,3,3,8
"CAN","Canadá","2024-07-29",2,1,2,9
"HKG","Hong Kong, China","2024-07-29",2,0,1,10
"GER","Alemanha","2024-07-29",2,0,0,11
"KAZ","Cazaquistão","2024-07-29",1,0,2,12
"RSA","África do Sul","2024-07-29",1,0,2,12
"BEL","Bélgica","2024-07-29",1,0,1,13
"AZE","Azerbaijão","2024-07-29",1,0,0,14
"ROU","Romênia","2024-07-29",1,0,0,14
"UZB","Uzbequistão","2024-07-29",1,0,0,14
"BRA","Brasil","2024-07-29",0,1,2,15
"SWE","Suécia","2024-07-29",0,1,2,15
"FIJ","Fiji","2024-07-29",0,1,0,16
"KOS","Kosovo","2024-07-29",0,1,0,16
"MGL","Mongólia","2024-07-29",0,1,0,16
"POL","Polônia","2024-07-29",0,1,0,16
"TUN","Tunísia","2024-07-29",0,1,0,16
"MDA","Moldova","2024-07-29",0,0,2,17
"CRO","Croácia","2024-07-29",0,0,1,18
"EGY","Egito","2024-07-29",0,0,1,18
"ESP","Espanha","2024-07-29",0,0,1,18
"HUN","Hungria","2024-07-29",0,0,1,18
"IND","Índia","2024-07-29",0,0,1,18
"IRL","Irlanda","2024-07-29",0,0,1,18
"MEX","México","2024-07-29",0,0,1,18
"SUI","Suíça","2024-07-29",0,0,1,18
"SVK","Eslováquia","2024-07-29",0,0,1,18
"TUR","Türkiye","2024-07-29",0,0,1,18
"UKR","Ucrânia","2024-07-29",0,0,1,18
"JPN","Japão","2024-07-28",4,2,1,1
"AUS","Austrália","2024-07-28",4,2,0,2
"USA","EUA","2024-07-28",3,6,3,3
"FRA","França","2024-07-28",3,3,2,4
"KOR","República da Coréia","2024-07-28",3,2,1,5
"CHN","China","2024-07-28",3,1,2,6
"ITA","Itália","2024-07-28",1,2,3,7
"KAZ","Cazaquistão","2024-07-28",1,0,2,8
"BEL","Bélgica","2024-07-28",1,0,1,9
"GER","Alemanha","2024-07-28",1,0,0,10
"HKG","Hong Kong, China","2024-07-28",1,0,0,10
"UZB","Uzbequistão","2024-07-28",1,0,0,10
"GBR","Grã-Bretanha","2024-07-28",0,2,2,11
"BRA","Brasil","2024-07-28",0,1,2,12
"CAN","Canadá","2024-07-28",0,1,1,13
"FIJ","Fiji","2024-07-28",0,1,0,14
"KOS","Kosovo","2024-07-28",0,1,0,14
"MGL","Mongólia","2024-07-28",0,1,0,14
"POL","Polônia","2024-07-28",0,1,0,14
"TUN","Tunísia","2024-07-28",0,1,0,14
"SWE","Suécia","2024-07-28",0,0,2,15
"EGY","Egito","2024-07-28",0,0,1,16
"ESP","Espanha","2024-07-28",0,0,1,16
"HUN","Hungria","2024-07-28",0,0,1,16
"IND","Índia","2024-07-28",0,0,1,16
"MDA","Moldova","2024-07-28",0,0,1,16
"MEX","México","2024-07-28",0,0,1,16
"RSA","África do Sul","2024-07-28",0,0,1,16
"AUS","Austrália","2024-07-27",3,2,0,1
"CHN","China","2024-07-27",2,0,1,2
"USA","EUA","2024-07-27",1,2,2,3
"FRA","França","2024-07-27",1,2,1,4
"KOR","República da Coréia","2024-07-27",1,1,1,5
"BEL","Bélgica","2024-07-27",1,0,1,6
"JPN","Japão","2024-07-27",1,0,1,6
"KAZ","Cazaquistão","2024-07-27",1,0,1,6
"GER","Alemanha","2024-07-27",1,0,0,7
"HKG","Hong Kong, China","2024-07-27",1,0,0,7
"ITA","Itália","2024-07-27",0,1,2,8
"GBR","Grã-Bretanha","2024-07-27",0,1,1,9
"CAN","Canadá","2024-07-27",0,1,0,10
"FIJ","Fiji","2024-07-27",0,1,0,10
"MGL","Mongólia","2024-07-27",0,1,0,10
"TUN","Tunísia","2024-07-27",0,1,0,10
"ESP","Espanha","2024-07-27",0,0,1,11
"HUN","Hungria","2024-07-27",0,0,1,11
"RSA","África do Sul","2024-07-27",0,0,1,11
"SWE","Suécia","2024-07-27",0,0,1,11
